nombre;sexe;annee;prenoms;nombre_total_cumule
8;F;2006;Angie;8
5;M;2006;Ari;5
6;F;2006;Armance;6
16;M;2006;Artus;16
25;F;2006;Astrid;25
12;M;2006;Aurèle;12
10;F;2006;Camélia;10
9;M;2006;Célestin;9
49;F;2006;Célia;49
15;F;2006;Cléo;15
12;F;2006;Delphine;12
7;M;2006;Eden;7
39;F;2006;Eléonore;39
14;F;2006;Elina;14
12;M;2006;Elio;12
12;F;2006;Elisabeth;12
6;M;2006;Emilio;6
10;F;2006;Emily;10
5;F;2006;Eryne;5
126;M;2006;Ethan;126
24;F;2006;Eve;24
13;M;2006;Farès;13
5;F;2006;Fatma;5
30;F;2006;Flora;30
6;F;2006;Floriane;6
5;F;2006;Hafsa;5
12;F;2006;Hana;12
23;M;2006;Ilan;23
8;M;2006;Ilyès;8
30;F;2006;Imane;30
13;F;2006;Imen;13
35;F;2006;Ines;35
8;F;2006;Jana;8
5;M;2006;Jean-Christophe;5
10;F;2006;Johanna;10
10;F;2006;Karine;10
8;F;2006;Keren;8
5;F;2006;Leonor;5
11;F;2006;Lia;11
10;M;2006;Lior;10
11;F;2006;Liora;11
13;F;2006;Loane;13
21;F;2006;Lydia;21
34;F;2006;Lyna;34
37;F;2006;Maëlys;37
9;M;2006;Mahé;9
5;F;2006;Maia;5
11;M;2006;Marcus;11
177;F;2006;Marie;177
45;F;2006;Marine;45
10;M;2006;Marvin;10
17;M;2006;Marwan;17
7;M;2006;Marwane;7
5;F;2006;Marylou;5
93;M;2006;Maxence;93
23;F;2006;Mélina;23
6;M;2006;Moïse;6
6;F;2006;Naya;6
27;M;2006;Olivier;27
19;F;2006;Oriane;19
14;M;2006;Philippe;14
43;M;2006;Rafael;43
6;F;2006;Rahma;6
17;F;2006;Rebecca;17
5;F;2006;Samia;5
156;M;2006;Samuel;156
47;M;2006;Samy;47
35;F;2006;Stella;35
5;M;2006;Sylvain;5
6;M;2006;Tommy;6
52;F;2006;Violette;52
23;M;2006;Wassim;23
10;M;2006;Youcef;10
7;M;2006;Zachary;7
5;M;2006;Zadig;5
11;F;2007;Amy;11
17;M;2007;Ange;17
12;F;2007;Asma;12
21;F;2007;Audrey;21
